,site6
0,0.2936499
1,0.2936499
2,0.2936499
3,0.2936499
4,0.2936499
5,0.2936499
6,0.30414224
7,0.30050707
8,0.34554005
9,0.37030697
10,0.36682034
11,0.50637984
12,0.39831233
13,0.37089634
14,0.35480118
15,0.7433212
16,0.7327148
17,0.4701798
18,0.5887482
19,0.555953
20,1.1273112
21,1.1491196
22,0.75377154
23,0.93158185
24,1.1006972
25,0.6384058
26,0.7305702
27,1.0595763
28,0.79523873
29,0.6860695
30,0.6010685
31,0.68397415
32,1.3687124
33,0.89593625
34,0.8143505
35,0.69762135
36,1.3470504
37,1.8282144
38,3.0256243
39,3.2411904
40,3.3835883
41,3.0356603
42,1.7725917
43,1.3535073
44,1.6294109
45,1.1108295
46,0.80176485
47,0.51342034
48,0.5542555
49,0.6401043
50,0.67604494
51,0.6672468
52,1.2699445
53,1.4152627
54,1.9433537
55,1.58192
56,1.5932767
57,1.8672973
58,1.5436584
59,1.2529962
60,1.7041483
61,1.6168066
62,1.7431678
63,1.5668805
64,1.1181949
65,1.4552095
66,1.8601336
67,1.6902881
68,1.9129764
69,2.987201
70,3.001523
71,3.1579866
72,2.7792225
73,3.2571707
74,1.855066
75,2.9947636
76,1.7902601
77,1.7933733
78,1.3276577
79,0.399549
80,0.2936499
81,0.2936499
82,0.2936499
83,0.2936499
84,0.2936499
85,0.2936499
86,0.2936499
87,0.2936499
88,0.2936499
89,0.32017064
90,0.31824088
91,0.3187573
92,0.352499
93,0.35971975
94,0.2936499
95,0.5511179
96,0.4293089
97,0.51941395
98,0.48100114
99,0.43239546
100,0.4158101
101,0.5558138
102,0.5465107
103,0.48758173
104,0.6086526
105,0.5912483
106,0.56715274
107,0.54755116
108,0.5658555
109,0.57708097
110,0.61629796
111,4.047601
112,4.341707
113,3.7237918
114,5.502423
115,5.4909606
116,4.5881605
117,3.6598473
118,5.6926003
119,5.2021885
120,5.654398
121,5.6274214
122,5.6230135
123,4.829135
124,5.392173
125,5.0515323
126,4.241894
127,7.0801454
128,7.2587337
129,7.2775974
130,7.3759894
131,7.15319
132,7.4043856
133,7.449295
134,7.665103
135,7.8069053
136,7.7203817
137,7.807866
138,7.7538257
139,7.67031
140,7.7232437
141,7.491231
142,7.5081534
143,7.9692073
144,7.9334817
145,8.115974
146,9.201376
147,8.12789
148,7.8456736
149,7.637918
150,8.250906
151,7.8754535
152,7.3981733
153,7.6679974
154,10.354057
155,7.5480857
156,7.0136175
157,6.7684526
158,6.653963
159,6.5447855
160,6.500595
161,6.4706297
162,5.496998
163,9.257216
164,12.090721
165,8.725893
166,7.9620833
167,7.359675
168,7.0354185
169,6.890272
170,7.2881
171,7.261954
172,6.8483534
173,7.1502905
174,6.9867144
175,4.049878
176,3.44296
177,3.4395244
178,3.2284992
179,3.6328313
180,3.2520406
181,3.0846288
182,2.883137
183,2.6001527
184,3.8531651
185,3.7095177
186,3.2495735
187,3.292827
188,3.6990893
189,7.4582386
190,8.597601
191,8.761121
192,9.198368
193,7.4494624
194,7.0754147
195,6.8433228
196,6.4044275
197,10.05345
198,9.2587385
199,9.7729435
200,11.001835
201,7.1537585
202,10.177488
203,7.8552504
204,7.0675955
205,7.0361824
206,6.916206
207,6.3705807
208,5.7931695
209,6.067713
210,6.658304
211,6.4338865
212,6.325054
213,6.5033627
214,6.493632
215,6.880563
216,6.9000225
217,6.6161633
218,6.4106226
219,6.52137
220,7.4383707
221,8.0816
222,7.2060666
223,7.8127904
224,10.539896
225,8.135794
226,7.153884
227,7.584157
228,7.1995854
229,6.995919
230,7.2506986
231,8.610392
232,7.5040455
233,6.3825808
234,7.902044
235,10.033211
236,9.77835
237,8.536308
238,8.700153
239,7.9486046
240,9.731623
241,8.130083
242,7.4696784
243,7.4639225
244,8.103094
245,11.2014065
246,13.099178
247,8.225243
248,8.723819
249,9.483809
250,9.869078
251,8.230569
252,7.8741846
253,8.145367
254,7.4723325
255,7.252794
256,7.2340174
257,7.877913
258,8.546302
259,7.621966
260,6.261196
261,4.4347095
262,4.200804
263,3.964546
264,7.240841
265,2.143131
266,4.5597925
267,9.7016735
268,10.674297
269,9.46117
270,8.252272
271,3.2083597
272,1.533785
273,2.1848114
274,6.92632
275,7.6384363
276,7.5454917
277,3.2138333
278,5.320672
279,6.667763
280,7.3376327
281,6.963223
282,6.960589
283,4.5297484
284,4.465708
285,4.063163
286,4.2900224
287,4.0859275
288,3.8365347
289,7.804894
290,8.234863
291,7.833508
292,2.4938982
293,1.9997826
294,6.5265336
295,7.5207396
296,6.5108347
297,7.4946303
298,3.9162095
299,2.706926
300,6.1215653
301,5.914837
302,2.0986183
303,0.5014031
304,0.431643
305,0.5444863
306,0.40273333
307,0.4864576
308,0.34925747
309,0.40141845
310,0.41384697
311,0.46770692
312,0.36479545
313,0.37003708
314,0.39379215
315,0.4423952
316,0.4689343
317,0.4464841
318,0.3300588
319,2.1555893
320,3.4019525
321,3.400567
322,1.8990512
323,1.4709384
324,1.6271212
325,1.3239881
326,0.77581227
327,0.5593357
328,0.45227647
329,0.7856332
330,0.98734605
331,1.0287213
332,0.45179963
333,0.7893982
334,0.39368963
335,0.2936499
336,0.2936499
337,0.2936499
338,0.2936499
339,0.2936499
340,0.2936499
341,0.2936499
342,0.2936499
343,0.2936499
344,0.2936499
345,0.2936499
346,0.2936499
347,0.2936499
348,0.2936499
349,0.2936499
350,0.2936499
351,0.30342674
352,0.2936499
353,0.33266735
354,0.30194283
355,0.43657255
356,0.44188237
357,0.3544979
358,0.4846747
359,0.5204382
360,0.33987713
361,0.2936499
362,0.2936499
363,0.2936499
364,0.2936499
